"POSITION","BIB","COUNTRY","ATHELTE","MARK","REACTION.TIME","GENDER","EVENT","MIXED","EventGroup"
5,"","Germany","Sandrina SPRENGEL","",NA,"F","HEPTATHLON",0,"Combined"
6,"","Netherlands","Sofie DOKTER","",NA,"F","HEPTATHLON",0,"Combined"
7,"","Finland","Saga VANNINEN","",NA,"F","HEPTATHLON",0,"Combined"
8,"","United Kingdom","Jade O'DOWDA","",NA,"F","HEPTATHLON",0,"Combined"
9,"","Netherlands","Emma OOSTERWEGEL","",NA,"F","HEPTATHLON",0,"Combined"
10,"","Colombia","Martha ARAUJO","",NA,"F","HEPTATHLON",0,"Combined"
11,"","United States","Michelle ATHERLEY","",NA,"F","HEPTATHLON",0,"Combined"
12,"","Spain","María VICENTE","",NA,"F","HEPTATHLON",0,"Combined"
13,"","Italy","Sveva GEREVINI","",NA,"F","HEPTATHLON",0,"Combined"
14,"","Lithuania","Beatričė JUŠKEVIČIŪTĖ","",NA,"F","HEPTATHLON",0,"Combined"
15,"","Poland","Adrianna SUŁEK-SCHUBERT","",NA,"F","HEPTATHLON",0,"Combined"
16,"","Australia","Camryn NEWTON-SMITH","",NA,"F","HEPTATHLON",0,"Combined"
17,"","Australia","Tori WEST","",NA,"F","HEPTATHLON",0,"Combined"
18,"","France","Auriana LAZRAQ-KHLASS","",NA,"F","HEPTATHLON",0,"Combined"
19,"","Estonia","Pippi Lotta ENOK","",NA,"F","HEPTATHLON",0,"Combined"
NA,"","United States","Timara CHAPMAN","",NA,"F","HEPTATHLON",0,"Combined"
NA,"","Belgium","Nafissatou THIAM","",NA,"F","HEPTATHLON",0,"Combined"
NA,"","United Kingdom","Abigail PAWLETT","",NA,"F","HEPTATHLON",0,"Combined"
NA,"","Germany","Vanessa GRIMM","",NA,"F","HEPTATHLON",0,"Combined"
NA,"","Switzerland","Annik KÄLIN","",NA,"F","HEPTATHLON",0,"Combined"
1,"","Germany","Leo NEUGEBAUER","",NA,"M","DECATHLON",0,"Combined"
2,"","Puerto Rico","Ayden OWENS-DELERME","",NA,"M","DECATHLON",0,"Combined"
3,"","United States","Kyle GARLAND","",NA,"M","DECATHLON",0,"Combined"
4,"","Germany","Niklas KAUL","",NA,"M","DECATHLON",0,"Combined"
5,"","Estonia","Johannes ERM","",NA,"M","DECATHLON",0,"Combined"
6,"","United States","Heath BALDWIN","",NA,"M","DECATHLON",0,"Combined"
7,"","United States","Harrison WILLIAMS","",NA,"M","DECATHLON",0,"Combined"
8,"","Bahamas","Kendrick THOMPSON","",NA,"M","DECATHLON",0,"Combined"
9,"","France","Makenson GLETTY","",NA,"M","DECATHLON",0,"Combined"
10,"","Belgium","Jente HAUTTEKEETE","",NA,"M","DECATHLON",0,"Combined"
11,"","Czechia","Vilém STRÁSKÝ","",NA,"M","DECATHLON",0,"Combined"
12,"","France","Antoine FERRANTI","",NA,"M","DECATHLON",0,"Combined"
13,"","Brazil","José Fernando FERREIRA","",NA,"M","DECATHLON",0,"Combined"
14,"","China","Xiang FEI","",NA,"M","DECATHLON",0,"Combined"
15,"","Czechia","Ondřej KOPECKÝ","",NA,"M","DECATHLON",0,"Combined"
NA,"","Estonia","Karel TILGA","",NA,"M","DECATHLON",0,"Combined"
NA,"","Grenada","Lindon VICTOR","",NA,"M","DECATHLON",0,"Combined"
NA,"","Norway","Sander SKOTHEIM","",NA,"M","DECATHLON",0,"Combined"
NA,"","Canada","Pierce LEPAGE","",NA,"M","DECATHLON",0,"Combined"
NA,"","Switzerland","Simon EHAMMER","",NA,"M","DECATHLON",0,"Combined"
NA,"","Netherlands","Sven ROOSEN","",NA,"M","DECATHLON",0,"Combined"
NA,"","Germany","Till STEINFORTH","",NA,"M","DECATHLON",0,"Combined"
NA,"","Estonia","Janek ÕIGLANE","",NA,"M","DECATHLON",0,"Combined"
NA,"","Canada","Damian WARNER","",NA,"M","DECATHLON",0,"Combined"
1,"2773","New Zealand","Hamish KERR","2.36 WL",NA,"M","HIGH JUMP",0,"Jumping"
2,"2668","South Korea","Sanghyeok WOO","2.34 =SB",NA,"M","HIGH JUMP",0,"Jumping"
3,"2248","Czechia","Jan ŠTEFELA","2.31",NA,"M","HIGH JUMP",0,"Jumping"
4,"2956","Ukraine","Oleh DOROSHCHUK","2.31",NA,"M","HIGH JUMP",0,"Jumping"
5,"2999","United States","JuVaughn HARRISON","2.28 =SB",NA,"M","HIGH JUMP",0,"Jumping"
6,"2470","India","Sarvesh Anil KUSHARE","2.28 PB",NA,"M","HIGH JUMP",0,"Jumping"
6,"3049","United States","Tyus WILSON","2.28 =SB",NA,"M","HIGH JUMP",0,"Jumping"
8,"2534","Italy","Matteo SIOLI","2.24",NA,"M","HIGH JUMP",0,"Jumping"
8,"2582","Japan","Ryoichi AKAMATSU","2.24",NA,"M","HIGH JUMP",0,"Jumping"
10,"2615","Japan","Yuto SEKO","2.2",NA,"M","HIGH JUMP",0,"Jumping"
11,"2047","Australia","Yual REATH","2.2",NA,"M","HIGH JUMP",0,"Jumping"
11,"2079","Belgium","Thomas CARMOY","2.2",NA,"M","HIGH JUMP",0,"Jumping"
NA,"2548","Jamaica","Romaine BECKFORD","NM",NA,"M","HIGH JUMP",0,"Jumping"
1,"537","Australia","Nicola OLYSLAGERS","2",NA,"F","HIGH JUMP",0,"Jumping"
2,"1228","Poland","Maria ŻODZIK","2.00 PB",NA,"F","HIGH JUMP",0,"Jumping"
3,"1365","Ukraine","Yaroslava MAHUCHIKH","1.97",NA,"F","HIGH JUMP",0,"Jumping"
3,"1282","Serbia","Angelina TOPIĆ","1.97 SB",NA,"F","HIGH JUMP",0,"Jumping"
5,"540","Australia","Eleanor PATTERSON","1.97",NA,"F","HIGH JUMP",0,"Jumping"
5,"1364","Ukraine","Yuliia LEVCHENKO","1.97",NA,"F","HIGH JUMP",0,"Jumping"
7,"895","Germany","Christina HONSEL","1.93",NA,"F","HIGH JUMP",0,"Jumping"
7,"867","United Kingdom","Morgan LAKE","1.93",NA,"F","HIGH JUMP",0,"Jumping"
9,"721","Cyprus","Elena KULICHENKO","1.93",NA,"F","HIGH JUMP",0,"Jumping"
10,"572","Belgium","Merel MAES","1.93",NA,"F","HIGH JUMP",0,"Jumping"
11,"918","Germany","Imke ONNEN","1.93",NA,"F","HIGH JUMP",0,"Jumping"
12,"723","Czechia","Michaela HRUBÁ","1.88",NA,"F","HIGH JUMP",0,"Jumping"
12,"933","Guinea","Fatoumata BALLEY","1.88",NA,"F","HIGH JUMP",0,"Jumping"
12,"1130","Montenegro","Marija VUKOVIĆ","1.88",NA,"F","HIGH JUMP",0,"Jumping"
15,"925","Ghana","Rose Amoanimaa YEBOAH","1.88",NA,"F","HIGH JUMP",0,"Jumping"
NA,"779","Estonia","Elisabeth PIHELA","NM",NA,"F","HIGH JUMP",0,"Jumping"
1,"2914","Sweden","Armand DUPLANTIS","6.30 WR",NA,"M","POLE VAULT",0,"Jumping"
2,"2447","Greece","Emmanouil KARALIS","6",NA,"M","POLE VAULT",0,"Jumping"
3,"2038","Australia","Kurtis MARSCHALL","5.95 =PB",NA,"M","POLE VAULT",0,"Jumping"
4,"3006","United States","Sam KENDRICKS","5.95 SB",NA,"M","POLE VAULT",0,"Jumping"
5,"2325","France","Thibaut COLLET","5.9",NA,"M","POLE VAULT",0,"Jumping"
6,"2758","Norway","Sondre Mogens GUTTORMSEN","5.90 =SB",NA,"M","POLE VAULT",0,"Jumping"
7,"2744","Netherlands","Menno VLOON","5.9",NA,"M","POLE VAULT",0,"Jumping"
8,"2342","France","Renaud LAVILLENIE","5.75",NA,"M","POLE VAULT",0,"Jumping"
9,"2843","Qatar","Seifeldin HENEIDA ABDESALAM","5.75 =NR",NA,"M","POLE VAULT",0,"Jumping"
10,"2418","Germany","Bo Kanda LITA BAEHRE","5.75 =SB",NA,"M","POLE VAULT",0,"Jumping"
11,"2326","France","Ethan CORMONT","5.55",NA,"M","POLE VAULT",0,"Jumping"
NA,"2944","Turkey","Ersu ŞAŞMA","NM",NA,"M","POLE VAULT",0,"Jumping"
1,"1431","United States","Katie MOON","4.90 SB",NA,"F","POLE VAULT",0,"Jumping"
2,"1433","United States","Sandi MORRIS","4.85 SB",NA,"F","POLE VAULT",0,"Jumping"
3,"1278","Slovenia","Tina ŠUTEJ","4.80 SB",NA,"F","POLE VAULT",0,"Jumping"
4,"728","Czechia","Amálie ŠVÁBÍKOVÁ","4.75 SB",NA,"F","POLE VAULT",0,"Jumping"
5,"1301","Switzerland","Angelica MOSER","4.65",NA,"F","POLE VAULT",0,"Jumping"
6,"1430","United States","Hana MOLL","4.65",NA,"F","POLE VAULT",0,"Jumping"
6,"1429","United States","Amanda MOLL","4.65",NA,"F","POLE VAULT",0,"Jumping"
8,"1187","New Zealand","Olivia MCTAGGART","4.65",NA,"F","POLE VAULT",0,"Jumping"
8,"823","France","Marie-Julie BONNIN","4.65",NA,"F","POLE VAULT",0,"Jumping"
10,"1183","New Zealand","Imogen AYRIS","4.45",NA,"F","POLE VAULT",0,"Jumping"
11,"674","China","Chunge NIU","4.45",NA,"F","POLE VAULT",0,"Jumping"
11,"977","Italy","Roberta BRUNI","4.45",NA,"F","POLE VAULT",0,"Jumping"
NA,"601","Brazil","Juliana DE MENIS CAMPOS","NM",NA,"F","POLE VAULT",0,"Jumping"
NA,"1186","New Zealand","Eliza MCCARTNEY","NM",NA,"F","POLE VAULT",0,"Jumping"
1,"2518","Italy","Mattia FURLANI","8.39 PB",NA,"M","LONG JUMP",0,"Jumping"
2,"2555","Jamaica","Tajay GAYLE","8.34 =SB",NA,"M","LONG JUMP",0,"Jumping"
3,"2194","China","Yuhao SHI","8.33 SB",NA,"M","LONG JUMP",0,"Jumping"
4,"2899","Switzerland","Simon EHAMMER","8.3",NA,"M","LONG JUMP",0,"Jumping"
5,"2142","Bulgaria","Bozhidar SARÂBOYUKOV","8.19",NA,"M","LONG JUMP",0,"Jumping"
6,"2208","China","Mingkun ZHANG","8.18",NA,"M","LONG JUMP",0,"Jumping"
7,"2921","Sweden","Thobias MONTLER","8.17",NA,"M","LONG JUMP",0,"Jumping"
8,"2282","Spain","Lester LESCAY","7.97",NA,"M","LONG JUMP",0,"Jumping"
9,"2578","Jamaica","Nikaoli WILLIAMS","7.85",NA,"M","LONG JUMP",0,"Jumping"
10,"2997","United States","Isaac GRIMES","7.85",NA,"M","LONG JUMP",0,"Jumping"
11,"2451","Greece","Miltiadis TENTOGLOU","7.83",NA,"M","LONG JUMP",0,"Jumping"
12,"2281","Spain","Jaime GUERRA","7.81",NA,"M","LONG JUMP",0,"Jumping"
1,"1390","United States","Tara DAVIS-WOODHALL","7.13 WL",NA,"F","LONG JUMP",0,"Jumping"
2,"916","Germany","Malaika MIHAMBO","6.99",NA,"F","LONG JUMP",0,"Jumping"
3,"698","Colombia","Natalia LINARES","6.92 =PB",NA,"F","LONG JUMP",0,"Jumping"
4,"833","France","Hilary KPATCHA","6.82",NA,"F","LONG JUMP",0,"Jumping"
5,"1381","United States","Claire BRYANT","6.68",NA,"F","LONG JUMP",0,"Jumping"
6,"1233","Portugal","Agate DE SOUSA","6.67",NA,"F","LONG JUMP",0,"Jumping"
7,"1143","Netherlands","Pauline HONDEMA","6.6",NA,"F","LONG JUMP",0,"Jumping"
8,"1382","United States","Quanesha BURKS","6.6",NA,"F","LONG JUMP",0,"Jumping"
9,"1315","Sweden","Maja ÅSKAG","6.49",NA,"F","LONG JUMP",0,"Jumping"
10,"617","Burkina Faso","Marthe KOALA","6.49",NA,"F","LONG JUMP",0,"Jumping"
11,"747","Egypt","Esraa OWIS","6.37",NA,"F","LONG JUMP",0,"Jumping"
12,"1013","British Virgin Islands","Chantel MALONE","6.33",NA,"F","LONG JUMP",0,"Jumping"
1,"2823","Portugal","Pedro PICHARDO","17.91 WL",NA,"M","TRIPLE JUMP",0,"Jumping"
2,"2512","Italy","Andrea DALLAVALLE","17.64 PB",NA,"M","TRIPLE JUMP",0,"Jumping"
3,"2231","Cuba","Lázaro MARTÍNEZ","17.49 SB",NA,"M","TRIPLE JUMP",0,"Jumping"
4,"2008","Algeria","Yasser Mohammed TRIKI","17.25",NA,"M","TRIPLE JUMP",0,"Jumping"
5,"2570","Jamaica","Jordan SCOTT","17.21",NA,"M","TRIPLE JUMP",0,"Jumping"
6,"2514","Italy","Andy DÍAZ HERNÁNDEZ","17.19",NA,"M","TRIPLE JUMP",0,"Jumping"
7,"2143","Burkina Faso","Hugues Fabrice ZANGO","16.92",NA,"M","TRIPLE JUMP",0,"Jumping"
8,"2352","France","Jonathan SEREMES","16.82",NA,"M","TRIPLE JUMP",0,"Jumping"
9,"2060","Austria","Endiorass KINGLEY","16.71",NA,"M","TRIPLE JUMP",0,"Jumping"
10,"2196","China","Wen SU","16.66",NA,"M","TRIPLE JUMP",0,"Jumping"
11,"2212","China","Yaming ZHU","16.51",NA,"M","TRIPLE JUMP",0,"Jumping"
12,"3017","United States","Salif MANE","16.29",NA,"M","TRIPLE JUMP",0,"Jumping"
1,"715","Cuba","Leyanis PÉREZ HERNÁNDEZ","14.94 WL",NA,"F","TRIPLE JUMP",0,"Jumping"
2,"739","Dominica","Thea LAFOND","14.89 SB",NA,"F","TRIPLE JUMP",0,"Jumping"
3,"1459","Venezuela","Yulimar ROJAS","14.76 SB",NA,"F","TRIPLE JUMP",0,"Jumping"
4,"716","Cuba","Liadagmis POVEA","14.72",NA,"F","TRIPLE JUMP",0,"Jumping"
5,"1036","Jamaica","Shanieka RICKETTS","14.56",NA,"F","TRIPLE JUMP",0,"Jumping"
6,"1270","Senegal","Saly SARR","14.55 PB",NA,"F","TRIPLE JUMP",0,"Jumping"
7,"1432","United States","Jasmine MOORE","14.51",NA,"F","TRIPLE JUMP",0,"Jumping"
8,"1038","Jamaica","Ackelia SMITH","14.37",NA,"F","TRIPLE JUMP",0,"Jumping"
9,"1273","Slovenia","Neja FILIPIČ","14.03",NA,"F","TRIPLE JUMP",0,"Jumping"
10,"897","Germany","Caroline JOYEUX","14",NA,"F","TRIPLE JUMP",0,"Jumping"
11,"1315","Sweden","Maja ÅSKAG","13.92",NA,"F","TRIPLE JUMP",0,"Jumping"
12,"1345","Turkey","Tuğba DANIŞMAZ","13.43",NA,"F","TRIPLE JUMP",0,"Jumping"
1,"2984","United States","Ryan CROUSER","22.34 SB",NA,"M","SHOT PUT",0,"Throwing"
2,"2705","Mexico","Uziel MUÑOZ","21.97 NR",NA,"M","SHOT PUT",0,"Throwing"
3,"2515","Italy","Leonardo FABBRI","21.94",NA,"M","SHOT PUT",0,"Throwing"
4,"2777","New Zealand","Tom WALSH","21.94 SB",NA,"M","SHOT PUT",0,"Throwing"
5,"2747","Nigeria","Chukwuebuka Cornnell ENEKWECHI","21.52",NA,"M","SHOT PUT",0,"Throwing"
6,"3030","United States","Adrian PIPERI","21.5",NA,"M","SHOT PUT",0,"Throwing"
7,"2971","United States","Josh AWOTUNDE","21.14",NA,"M","SHOT PUT",0,"Throwing"
8,"2382","United Kingdom","Scott LINCOLN","21",NA,"M","SHOT PUT",0,"Throwing"
9,"2789","Poland","Konrad BUKOWIECKI","20.66",NA,"M","SHOT PUT",0,"Throwing"
10,"2768","Norway","Marcus THOMSEN","20.53",NA,"M","SHOT PUT",0,"Throwing"
11,"2922","Sweden","Wictor PETERSSON","20.35",NA,"M","SHOT PUT",0,"Throwing"
12,"2247","Czechia","Tomáš STANĚK","19.91",NA,"M","SHOT PUT",0,"Throwing"
1,"1150","Netherlands","Jessica SCHILDER","20.29",NA,"F","SHOT PUT",0,"Throwing"
2,"1412","United States","Chase JACKSON","20.21",NA,"F","SHOT PUT",0,"Throwing"
3,"1189","New Zealand","Maddison-Lee WESCHE","20.06 =PB",NA,"F","SHOT PUT",0,"Throwing"
4,"632","Canada","Sarah MITTON","19.81",NA,"F","SHOT PUT",0,"Throwing"
5,"1329","Sweden","Fanny ROOS","19.54",NA,"F","SHOT PUT",0,"Throwing"
6,"917","Germany","Yemisi OGUNLEYE","19.33",NA,"F","SHOT PUT",0,"Throwing"
7,"683","China","Linru ZHANG","19.16",NA,"F","SHOT PUT",0,"Throwing"
8,"1442","United States","Jaida ROSS","19.01",NA,"F","SHOT PUT",0,"Throwing"
9,"663","China","Lijiao GONG","18.96",NA,"F","SHOT PUT",0,"Throwing"
10,"902","Germany","Alina KENZEL","18.42",NA,"F","SHOT PUT",0,"Throwing"
11,"911","Germany","Katharina MAISCH","18.21",NA,"F","SHOT PUT",0,"Throwing"
12,"1324","Sweden","Sara LENNMAN","17.78",NA,"F","SHOT PUT",0,"Throwing"
1,"2924","Sweden","Daniel STÅHL","70.47 SB",NA,"M","DISCUS THROW",0,"Throwing"
2,"2679","Lithuania","Mykolas ALEKNA","67.84",NA,"M","DISCUS THROW",0,"Throwing"
3,"2883","Samoa","Alex ROSE","66.96",NA,"M","DISCUS THROW",0,"Throwing"
4,"2031","Australia","Matthew DENNY","65.57",NA,"M","DISCUS THROW",0,"Throwing"
5,"2228","Cuba","Mario Alberto DÍAZ","64.71",NA,"M","DISCUS THROW",0,"Throwing"
6,"2681","Lithuania","Andrius GUDŽIUS","63.43",NA,"M","DISCUS THROW",0,"Throwing"
7,"2678","Lithuania","Martynas ALEKNA","63.34",NA,"M","DISCUS THROW",0,"Throwing"
8,"2890","Slovenia","Kristjan ČEH","63.07",NA,"M","DISCUS THROW",0,"Throwing"
9,"2062","Austria","Lukas WEISSHAIDINGER","62.26",NA,"M","DISCUS THROW",0,"Throwing"
10,"2772","New Zealand","Connor BELL","59.97",NA,"M","DISCUS THROW",0,"Throwing"
11,"2430","Germany","Mika SOSNA","58.6",NA,"M","DISCUS THROW",0,"Throwing"
NA,"2413","Germany","Henrik JANSSEN","NM",NA,"M","DISCUS THROW",0,"Throwing"
1,"1372","United States","Valarie ALLMAN","69.48",NA,"F","DISCUS THROW",0,"Throwing"
2,"1158","Netherlands","Jorinde VAN KLINKEN","67.50 SB",NA,"F","DISCUS THROW",0,"Throwing"
3,"713","Cuba","Silinda MORÁLES","67.25 PB",NA,"F","DISCUS THROW",0,"Throwing"
4,"1322","Sweden","Vanessa KAMGA","66.61 NR",NA,"F","DISCUS THROW",0,"Throwing"
5,"705","Croatia","Sandra ELKASEVIĆ","65.82",NA,"F","DISCUS THROW",0,"Throwing"
6,"1448","United States","Laulauga TAUSAGA","65.49",NA,"F","DISCUS THROW",0,"Throwing"
7,"662","China","Bin FENG","65.28",NA,"F","DISCUS THROW",0,"Throwing"
8,"888","Germany","Shanice CRAFT","65.21",NA,"F","DISCUS THROW",0,"Throwing"
9,"598","Brazil","Izabela DA SILVA","63.22",NA,"F","DISCUS THROW",0,"Throwing"
10,"1123","Moldova","Alexandra EMILIANOV","62.59",NA,"F","DISCUS THROW",0,"Throwing"
11,"1152","Netherlands","Alida VAN DAALEN","62.24",NA,"F","DISCUS THROW",0,"Throwing"
12,"1026","Jamaica","Samantha HALL","60.69",NA,"F","DISCUS THROW",0,"Throwing"
1,"2158","Canada","Ethan KATZBERG","84.70 CR",NA,"M","HAMMER THROW",0,"Throwing"
2,"2412","Germany","Merlin HUMMEL","82.77 PB",NA,"M","HAMMER THROW",0,"Throwing"
3,"2462","Hungary","Bence HALÁSZ","82.69",NA,"M","HAMMER THROW",0,"Throwing"
4,"2958","Ukraine","Mykhaylo KOKHAN","82.02 PB",NA,"M","HAMMER THROW",0,"Throwing"
5,"3050","United States","Rudy WINKLER","78.52",NA,"M","HAMMER THROW",0,"Throwing"
6,"2762","Norway","Thomas MARDAL","78.02",NA,"M","HAMMER THROW",0,"Throwing"
7,"2792","Poland","Paweł FAJDEK","77.75",NA,"M","HAMMER THROW",0,"Throwing"
8,"2465","Hungary","Ármin SZABADOS","77.15",NA,"M","HAMMER THROW",0,"Throwing"
9,"2759","Norway","Eivind HENRIKSEN","76.47",NA,"M","HAMMER THROW",0,"Throwing"
10,"3009","United States","Trey KNIGHT","76.11",NA,"M","HAMMER THROW",0,"Throwing"
11,"2464","Hungary","Dániel RÁBA","75.22",NA,"M","HAMMER THROW",0,"Throwing"
12,"2729","Netherlands","Denzel COMENENTIA","74.86",NA,"M","HAMMER THROW",0,"Throwing"
1,"638","Canada","Camryn ROGERS","80.51 WL",NA,"F","HAMMER THROW",0,"Throwing"
2,"684","China","Jie ZHAO","77.60 PB",NA,"F","HAMMER THROW",0,"Throwing"
3,"682","China","Jiale ZHANG","77.1",NA,"F","HAMMER THROW",0,"Throwing"
4,"807","Finland","Silja KOSONEN","75.28",NA,"F","HAMMER THROW",0,"Throwing"
5,"1437","United States","DeAnna PRICE","75.1",NA,"F","HAMMER THROW",0,"Throwing"
6,"1225","Poland","Anita WŁODARCZYK","74.64",NA,"F","HAMMER THROW",0,"Throwing"
7,"985","Italy","Sara FANTINI","73.06 SB",NA,"F","HAMMER THROW",0,"Throwing"
8,"732","Denmark","Katrine Koch JACOBSEN","71.59",NA,"F","HAMMER THROW",0,"Throwing"
9,"906","Germany","Aileen KUHN","71.57",NA,"F","HAMMER THROW",0,"Throwing"
10,"1419","United States","Janee' KASSANAVOID","70.35",NA,"F","HAMMER THROW",0,"Throwing"
11,"964","Ireland","Nicola TUTHILL","69.49",NA,"F","HAMMER THROW",0,"Throwing"
NA,"817","Finland","Krista TERVO","NM",NA,"F","HAMMER THROW",0,"Throwing"
1,"2933","Trinidad & Tobago","Keshorn WALCOTT","88.16 SB",NA,"M","JAVELIN THROW",0,"Throwing"
2,"2454","Grenada","Anderson PETERS","87.38",NA,"M","JAVELIN THROW",0,"Throwing"
3,"3040","United States","Curtis THOMPSON","86.67",NA,"M","JAVELIN THROW",0,"Throwing"
4,"2477","India","Sachin YADAV","86.27 PB",NA,"M","JAVELIN THROW",0,"Throwing"
5,"2434","Germany","Julian WEBER","86.11",NA,"M","JAVELIN THROW",0,"Throwing"
6,"2663","Kenya","Julius YEGO","85.54",NA,"M","JAVELIN THROW",0,"Throwing"
7,"2895","Sri Lanka","Rumesh Tharanga PATHIRAGE","84.38",NA,"M","JAVELIN THROW",0,"Throwing"
8,"2468","India","Neeraj CHOPRA","84.03",NA,"M","JAVELIN THROW",0,"Throwing"
9,"2809","Poland","Dawid WEGNER","83.03",NA,"M","JAVELIN THROW",0,"Throwing"
10,"2779","Pakistan","Arshad NADEEM","82.75",NA,"M","JAVELIN THROW",0,"Throwing"
11,"2250","Czechia","Jakub VADLEJCH","78.71",NA,"M","JAVELIN THROW",0,"Throwing"
12,"2039","Australia","Cameron MCENTYRE","75.65",NA,"M","JAVELIN THROW",0,"Throwing"
1,"742","Ecuador","Juleisy ANGULO","65.12 NR",NA,"F","JAVELIN THROW",0,"Throwing"
2,"1103","Latvia","Anete SIETIŅA","64.64 PB",NA,"F","JAVELIN THROW",0,"Throwing"
3,"534","Australia","Mackenzie LITTLE","63.58",NA,"F","JAVELIN THROW",0,"Throwing"
4,"1256","South Africa","Jo-Ane DU PLESSIS","63.06 SB",NA,"F","JAVELIN THROW",0,"Throwing"
5,"931","Greece","Elina TZENGKO","62.72",NA,"F","JAVELIN THROW",0,"Throwing"
6,"700","Colombia","Flor Denis RUIZ HURTADO","62.32 SB",NA,"F","JAVELIN THROW",0,"Throwing"
7,"1188","New Zealand","Tori MOORBY","61.53",NA,"F","JAVELIN THROW",0,"Throwing"
8,"1283","Serbia","Adriana VILAGOŠ","61.29",NA,"F","JAVELIN THROW",0,"Throwing"
9,"676","China","Lingdan SU","59.56",NA,"F","JAVELIN THROW",0,"Throwing"
10,"553","Austria","Victoria HUDSON","59.52",NA,"F","JAVELIN THROW",0,"Throwing"
11,"697","Colombia","Valentina BARRIOS","59.14",NA,"F","JAVELIN THROW",0,"Throwing"
12,"1210","Poland","Małgorzata MAŚLAK-GLUGLA","57.8",NA,"F","JAVELIN THROW",0,"Throwing"
1,"305","Brazil","Caio BONFIM","1:18:35",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
2,"312","China","Zhaozhao WANG","1:18:43",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
3,"328","Spain","Paul MCGRATH","1:18:45",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
4,"334","France","Aurélien QUINION","1:18:49 PB",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
5,"332","France","Gabriel BORDIER","1:19:23",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
6,"310","China","Haifeng QIAN","1:19:38",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
7,"360","Japan","Kento YOSHIKAWA","1:19:46",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
8,"325","Spain","Diego GARCÍA CARRERA","1:20:05",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
9,"357","Japan","Satoshi MARUO","1:20:09",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
10,"339","Germany","Christopher LINKE","1:20:11",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
11,"338","Germany","Leo KÖPP","1:20:35",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
12,"367","Mexico","Ricardo ORTIZ","1:20:36",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
13,"376","Sweden","Perseus KARLSTRÖM","1:20:37",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
14,"371","Poland","Maher BEN HLIMA","1:20:39",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
15,"320","Ecuador","Jordy Rafael JIMÉNEZ ARROBO","1:20:43",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
16,"350","Italy","Francesco FORTUNATO","1:21:00",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
17,"306","Brazil","Matheus CORREA","1:21:04 SB",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
18,"329","Ethiopia","Misgana WAKUMA","1:21:17 SB",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
19,"319","Ecuador","David HURTADO","1:21:18",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
20,"301","Australia","Rhydian COWLEY","1:21:18",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
21,"326","Spain","Álvaro LÓPEZ","1:21:28",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
22,"374","Slovakia","Dominik ČERNÝ","1:21:29",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
23,"304","Australia","Declan TINGAY","1:21:30",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
24,"309","China","Chenjie LI","1:21:39",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
25,"331","Finland","Veli-Matti PARTANEN","1:21:41 SB",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
26,"381","Ukraine","Mukola RUSHCHAK","1:21:57",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
27,"383","Ukraine","Serhii SVITLYCHNYI","1:22:24",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
28,"359","Japan","Toshikazu YAMANISHI","1:22:39",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
29,"317","Colombia","Mateo ROMERO","1:22:44",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
30,"361","South Korea","Byeongkwang CHOE","1:22:52",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
31,"345","India","Servin SEBASTIAN","1:23:03",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
32,"342","Hungary","Bence VENYERCSÁN","1:23:06",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
33,"364","Mexico","Noel CHAMA","1:23:41",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
34,"353","Italy","Gianluca PICCHIOTTINO","1:23:50",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
35,"377","Turkey","Mazlum DEMIR","1:24:11",NA,"M","20 KILOMETRES RACE WALK",0,"Running"
